Timestamp	Power	Income today	Measured income	Irradiation	Irradiation income today
2011-01-01 09:10:00					
2011-01-01 09:20:00					
2011-01-01 09:30:00					
2011-01-01 09:40:00	56				
2011-01-01 09:50:00	114				
2011-01-01 10:00:00	169				
2011-01-01 10:10:00	216				
2011-01-01 10:20:00	261				
2011-01-01 10:30:00	420	0.13			
2011-01-01 10:40:00	750	0.319			
2011-01-01 10:50:00	982	0.476			
2011-01-01 11:00:00	1128	0.657			
2011-01-01 11:10:00	1295	0.865			
2011-01-01 11:20:00	1383	1.086			
2011-01-01 11:30:00	1523	1.33			
2011-01-01 11:40:00	1638	1.592			
2011-01-01 11:50:00	1847	1.888			
2011-01-01 12:00:00	2042	2.216			
2011-01-01 12:10:00	2062	2.546			
2011-01-01 12:20:00	2052	2.872			
2011-01-01 12:30:00	2071	3.205			
2011-01-01 12:40:00	2118	3.545			
2011-01-01 12:50:00	2135	3.886			
2011-01-01 13:00:00	2078	4.217			
2011-01-01 13:10:00	2032	4.543			
2011-01-01 13:20:00	2014	4.865			
2011-01-01 13:30:00	1955	5.178			
2011-01-01 13:40:00	1860	5.476			
2011-01-01 13:50:00	1756	5.757			
2011-01-01 14:00:00	1664	6.023			
2011-01-01 14:10:00	1546	6.272			
2011-01-01 14:20:00	1415	6.498			
2011-01-01 14:30:00	1207	6.69			
2011-01-01 14:40:00	852	6.827			
2011-01-01 14:50:00	621	6.926			
2011-01-01 15:00:00	337	6.98			
2011-01-01 15:10:00	195	7.012			
2011-01-01 15:20:00	139	7.034			
2011-01-01 15:30:00	107	7.051			
2011-01-01 15:40:00	75	7.063			
2011-01-01 15:50:00	44	7.071			
2011-01-01 16:00:00	4	7.072			
2011-01-01 16:10:00		7.072			
2011-01-01 16:20:00		7.072			
2011-01-01 16:30:00		7.072			
2011-01-02 09:10:00					
2011-01-02 09:20:00					
2011-01-02 09:30:00					
2011-01-02 09:40:00					
2011-01-02 09:50:00	42				
2011-01-02 10:00:00	67				
2011-01-02 10:10:00	102				
2011-01-02 10:20:00	121				
2011-01-02 10:30:00	349				
2011-01-02 10:40:00	894	0.209			
2011-01-02 10:50:00	1209	0.365			
2011-01-02 11:00:00	1347	0.663			
2011-01-02 11:10:00	1472	0.899			
2011-01-02 11:20:00	1509	1.14			
2011-01-02 11:30:00	1623	1.401			
2011-01-02 11:40:00	1701	1.673			
2011-01-02 11:50:00	1940	1.984			
